DIA;PRODUÇÃO kWh
2020-11-05;1,6
2020-11-06;2,29
2020-11-07;3,9
2020-11-08;4,3
2020-11-09;4,4
2020-11-10;3,6
2020-11-11;3,3
2020-11-12;4,2
2020-11-13;4,5
2020-11-14;3,9
2020-11-15;4,4
2020-11-16;4,4
2020-11-17;3,2
2020-11-18;3,5
2020-11-19;2,7
2020-11-20;4,5
2020-11-21;4,5
2020-11-22;3,7
2020-11-23;2,2
2020-11-24;2,9
2020-11-25;3,5
2020-11-26;1,4
2020-11-27;4,09
2020-11-28;4,09
2020-11-29;3
2020-11-30;4,09
2020-12-01;4
2020-12-02;4,3
2020-12-03;4,09
2020-12-04;2,1
2020-12-05;4,2
2020-12-06;4,2
2020-12-07;4,3
2020-12-08;3,5
2020-12-09;2,2
2020-12-10;4,59
2020-12-11;5,8
2020-12-12;6
2020-12-13;6
2020-12-14;5,4
2020-12-15;6
2020-12-16;3,2
2020-12-17;5,7
2020-12-18;5,8
2020-12-19;4,9
2020-12-20;5,7
2020-12-21;6,3
2020-12-22;6,3
2020-12-23;5,6
2020-12-24;5,09
2020-12-25;3,3
2020-12-26;3,6
2020-12-27;5,6
2020-12-28;4,59
2020-12-29;6,2
2020-12-30;6,1
2020-12-31;3
2021-01-01;4,5
2021-01-02;5,7
2021-01-03;2,5
2021-01-04;6,1
2021-01-05;3,4
2021-01-06;6,3
2021-01-07;5,5
2021-01-08;4,5
2021-01-09;3,7
2021-01-10;4,8
2021-01-11;3,5
2021-01-12;5,2
2021-01-13;5,6
2021-01-14;6,2
2021-01-15;5,9
2021-01-16;6,2
2021-01-17;6,1
2021-01-18;5,6
2021-01-19;3,7
2021-01-20;2,7
2021-01-21;5,6
2021-01-22;4,3
2021-01-23;5,6
2021-01-24;4,09
2021-01-25;3
2021-01-26;4,2
2021-01-27;4,9
2021-01-28;4,8
2021-01-29;1,7
2021-01-30;0
2021-01-31;0,1
2021-02-01;2,6
2021-02-02;1,5
2021-02-03;5,4
2021-02-04;5,2
2021-02-05;5
2021-02-06;4,59
2021-02-07;4,3
2021-02-08;3,1
2021-02-09;4,8
2021-02-10;3
2021-02-11;2,2
2021-02-12;3,8
2021-02-13;4,9
2021-02-14;2,1
2021-02-15;2,7
2021-02-16;3,4
2021-02-17;4,4
2021-02-18;3,4
2021-02-19;2,2
2021-02-20;5,5
2021-02-21;3,8
2021-02-22;1,1
2021-02-23;5,4
2021-02-24;5,5
2021-02-25;4,5
2021-02-26;2,7
2021-02-27;3,2
2021-02-28;5,5
2021-03-01;4,9
2021-03-02;2,7
2021-03-03;4,09
2021-03-04;4,7
2021-03-05;2
2021-03-06;4
2021-03-07;4,4
2021-03-08;4,5
2021-03-09;3,2
2021-03-10;3,8
2021-03-11;5,8
2021-03-12;2,29
2021-03-13;4,59
2021-03-14;5
2021-03-15;5,8
2021-03-16;5
2021-03-17;4,7
2021-03-18;4,09
2021-03-19;3,3
2021-03-20;5,5
2021-03-21;6,6
2021-03-22;4,5
2021-03-23;6,5
2021-03-24;0,8
2021-03-25;5
2021-03-26;5,4
2021-03-27;6,1
2021-03-28;4,7
2021-03-29;4
2021-03-30;2,7
2021-03-31;3,1
2021-04-01;3,4
2021-04-02;4,2
2021-04-03;5,5
2021-04-04;4
2021-04-05;5,9
2021-04-06;5,5
2021-04-07;3,6
2021-04-08;2,29
2021-04-09;6
2021-04-10;1,6
2021-04-11;5,8
2021-04-12;6,1
2021-04-13;4,09
2021-04-14;6,8
2021-04-15;4,9
2021-04-16;3,1
2021-04-17;4,7
2021-04-18;3,5
2021-04-19;5,2
2021-04-20;6
2021-04-21;6,7
2021-04-22;2,29
2021-04-23;6,3
2021-04-24;3,3
2021-04-25;4,5
2021-04-26;6,1
2021-04-27;6,1
2021-04-28;6,1
2021-04-29;6,2
2021-04-30;3,6
2021-05-01;3,2
2021-05-02;5,8
2021-05-03;5
2021-05-04;2,9
2021-05-05;5,09
2021-05-06;5,09
2021-05-07;5,7
2021-05-08;4,09
2021-05-09;4
2021-05-10;3,4
2021-05-11;2
2021-05-12;5
2021-05-13;2,2
2021-05-14;5
2021-05-15;1,6
2021-05-16;5
2021-05-17;3,6
2021-05-18;4,2
2021-05-19;6,2
2021-05-20;5,9
2021-05-21;5,5
2021-05-22;6,3
2021-05-23;4,5
2021-05-24;6
2021-05-25;5,2
2021-05-26;1,6
2021-05-27;1,6
2021-05-28;5,4
2021-05-29;6,3
2021-05-30;6,2
2021-05-31;3,8
2021-06-01;4,5
2021-06-02;6,2
2021-06-03;4,2
2021-06-04;5,7
2021-06-05;6,1
2021-06-06;5,5
2021-06-07;5,9
2021-06-08;3,8
2021-06-09;4,09
2021-06-10;1,7
2021-06-11;2,29
2021-06-12;3,1
2021-06-13;6
2021-06-14;5,6
2021-06-15;5,2
2021-06-16;5,3
2021-06-17;6
2021-06-18;3,8
2021-06-19;6,2
2021-06-20;5,8
2021-06-21;4,7
2021-06-22;6,1
2021-06-23;6,2
2021-06-24;6,1
2021-06-25;5,8
2021-06-26;6
2021-06-27;6,3
2021-06-28;4,3
2021-06-29;6,1
2021-06-30;6,2
2021-07-01;5,3
2021-07-02;3,4
2021-07-03;4,7
2021-07-04;4,4
2021-07-05;4,09
2021-07-06;3,9
2021-07-07;6,1
2021-07-08;5,9
2021-07-09;4,8
2021-07-10;4
2021-07-11;4,7
2021-07-12;3,5
2021-07-13;2,6
2021-07-14;3,6
2021-07-15;4
2021-07-16;4,4
2021-07-17;4,4
2021-07-18;4,9
2021-07-19;4,5
2021-07-20;4,09
2021-07-21;4,59
2021-07-22;4,09
2021-07-23;4,8
2021-07-24;4,4
2021-07-25;4,09
2021-07-26;4,2
2021-07-27;4
2021-07-28;4
2021-07-29;5
2021-07-30;4,9
2021-07-31;5,4
2021-08-01;5,09
2021-08-02;4,9
2021-08-03;5,4
2021-08-04;5,9
2021-08-05;5,7
2021-08-06;5,9
2021-08-07;5,7
2021-08-08;6
2021-08-09;5,8
2021-08-10;0
2021-08-11;0
2021-08-12;4,2
2021-08-13;4,59
2021-08-14;5,2
2021-08-15;4,8
2021-08-16;2,8
2021-08-17;6
2021-08-18;6
2021-08-19;5,9
2021-08-20;6,1
2021-08-21;6,1
2021-08-22;6,1
2021-08-23;6,1
2021-08-24;6,2
2021-08-25;4,8
2021-08-26;6
2021-08-27;4,7
2021-08-28;6
2021-08-29;5
2021-08-30;5,7
2021-08-31;6,1
2021-09-01;5,9
2021-09-02;6,1
2021-09-03;3,4
2021-09-04;5,2
2021-09-05;5,9
2021-09-06;6,1
2021-09-07;6,1
2021-09-08;6,3
2021-09-09;6,3
2021-09-10;6,2
2021-09-11;6,2
2021-09-12;6
2021-09-13;6
2021-09-14;6
2021-09-15;5,6
2021-09-16;6,1
2021-09-17;6,1
2021-09-18;6
2021-09-19;6,2
2021-09-20;5,9
2021-09-21;6,1
2021-09-22;6,1
2021-09-23;5,9
2021-09-24;6
2021-09-25;6
2021-09-26;6
2021-09-27;6,2
2021-09-28;6,1
2021-09-29;6,2
2021-09-30;6
2021-10-01;6,1
2021-10-02;6
2021-10-03;6,2
2021-10-04;4,9
2021-10-05;6,8
2021-10-06;6,1
2021-10-07;6,7
2021-10-08;6,7
2021-10-09;5,8
2021-10-10;6,7
2021-10-11;6,8
2021-10-12;6,8
2021-10-13;6,7
2021-10-14;6,8
2021-10-15;6
2021-10-16;6,4
2021-10-17;5
2021-10-18;6,5
2021-10-19;6,3
2021-10-20;6,7
2021-10-21;6,6
2021-10-22;5,9
2021-10-23;6,6
2021-10-24;6,7
2021-10-25;6,7
2021-10-26;6,9
2021-10-27;6,7
2021-10-28;6,7
2021-10-29;5,5
2021-10-30;5,7
2021-10-31;4,4
2021-11-01;5,4
2021-11-02;4,8
2021-11-03;4,7
2021-11-04;7
2021-11-05;6,6
2021-11-06;6,5
2021-11-07;7,2
2021-11-08;5,9
2021-11-09;2,29
2021-11-10;5,6
2021-11-11;6,8
2021-11-12;7
2021-11-13;6,7
2021-11-14;6,6
2021-11-15;6,4
2021-11-16;5,2
2021-11-17;4,8
2021-11-18;6,2
2021-11-19;6,1
2021-11-20;3,1
2021-11-21;3,8
2021-11-22;5,2
2021-11-23;6,5
2021-11-24;3,4
2021-11-25;5,6
2021-11-26;4,8
2021-11-27;4
2021-11-28;5,9
2021-11-29;6,3
2021-11-30;6,2
2021-12-01;5,9
2021-12-02;5,4
2021-12-03;2,6
2021-12-04;2,2
2021-12-05;3,8
2021-12-06;6
2021-12-07;3,7
2021-12-08;4,3
2021-12-09;6,4
2021-12-10;5,2
2021-12-11;6,2
2021-12-12;6,2
2021-12-13;6,2
2021-12-14;6,2
2021-12-15;5,6
2021-12-16;4,9
2021-12-17;5,3
2021-12-18;5,7
2021-12-19;5
2021-12-20;6,3
2021-12-21;5,7
2021-12-22;5,3
2021-12-23;3,3
2021-12-24;5,8
2021-12-25;1,5
2021-12-26;5,4
2021-12-27;5,4
2021-12-28;6,2
2021-12-29;3,8
2021-12-30;6,1
2021-12-31;2,7
2022-01-01;3,2
2022-01-02;5,2
2022-01-03;3
2022-01-04;4,8
2022-01-05;5,2
2022-01-06;4
2022-01-07;4,5
2022-01-08;2,5
2022-01-09;3,1
2022-01-10;4,9
2022-01-11;2,8
2022-01-12;5,4
2022-01-13;5,5
2022-01-14;6,1
2022-01-15;5,7
2022-01-16;2,29
2022-01-17;3,4
2022-01-18;4,8
2022-01-19;5,5
2022-01-20;5,6
2022-01-21;6,4
2022-01-22;6,2
2022-01-23;5,4
2022-01-24;3,1
2022-01-25;3,9
2022-01-26;4,5
2022-01-27;3,7
2022-01-28;4
2022-01-29;1,7
2022-01-30;2,29
2022-01-31;3,5
2022-02-01;4,5
2022-02-02;2,4
2022-02-03;4,8
2022-02-04;2,29
2022-02-05;5,2
2022-02-06;2,6
2022-02-07;3,3
2022-02-08;5,9
2022-02-09;6,3
2022-02-10;5,9
2022-02-11;4,5
2022-02-12;6,1
2022-02-13;5,4
2022-02-14;4,7
2022-02-15;4,5
2022-02-16;3,3
2022-02-17;5,7
2022-02-18;6,7
2022-02-19;4,3
2022-02-20;6,8
2022-02-21;5,6
2022-02-22;5,2
2022-02-23;6,3
2022-02-24;6,3
2022-02-25;6,8
2022-02-26;1,6
2022-02-27;6,4
2022-02-28;5,9
2022-03-01;0,8
2022-03-02;5,4
2022-03-03;5,6
2022-03-04;5,6
2022-03-05;3,7
2022-03-06;1,3
2022-03-07;5,09
2022-03-08;3,9
2022-03-09;4,8
2022-03-10;3,9
2022-03-11;4,9
2022-03-12;5,09
2022-03-13;6,6
2022-03-14;5,2
2022-03-15;1,4
2022-03-16;6,5
2022-03-17;5,6
2022-03-18;1,6
2022-03-19;5,4
2022-03-20;5,4
2022-03-21;2,2
2022-03-22;6,5
2022-03-23;5
2022-03-24;4,09
2022-03-25;5,2
2022-03-26;5,6
2022-03-27;2,5
2022-03-28;0,6
2022-03-29;3,4
2022-03-30;1,2
2022-03-31;3,5
2022-04-01;6
2022-04-02;4,5
2022-04-03;3
2022-04-04;3,9
2022-04-05;3,9
2022-04-06;3,6
2022-04-07;1,7
2022-04-08;1,3
2022-04-09;4,2
2022-04-10;3,3
2022-04-11;6,2
2022-04-12;4,9
2022-04-13;3,5
2022-04-14;5,9
2022-04-15;5,09
2022-04-16;5
2022-04-17;2,8
2022-04-18;3,5
2022-04-19;6,4
2022-04-20;1,8
2022-04-21;4,7
2022-04-22;0
2022-04-23;5,5
2022-04-24;6,4
2022-04-25;5
2022-04-26;5,5
2022-04-27;6,4
2022-04-28;3,8
2022-04-29;2,29
2022-04-30;5,09
2022-05-01;4
2022-05-02;4,09
2022-05-03;3
2022-05-04;3,1
2022-05-05;6,1
2022-05-06;5,9
2022-05-07;5,7
2022-05-08;4,5
2022-05-09;2,8
2022-05-10;1
2022-05-11;5,9
2022-05-12;3,3
2022-05-13;5,2
2022-05-14;4,09
2022-05-15;2
2022-05-16;5,5
2022-05-17;3,6
2022-05-18;2,1
2022-05-19;2,8
2022-05-20;2,29
2022-05-21;2,7
2022-05-22;2,7
2022-05-23;2,7
2022-05-24;3,2
2022-05-25;3,1
2022-05-26;1,8
2022-05-27;3,3
2022-05-28;4,3
2022-05-29;2,5
2022-05-30;4,9
2022-05-31;4,7
2022-06-01;5,7
2022-06-02;6,5
2022-06-03;6,1
2022-06-04;5,7
2022-06-05;1,6
2022-06-06;4,4
2022-06-07;6
2022-06-08;5,8
2022-06-09;4,4
2022-06-10;3,3
2022-06-11;6,3
2022-06-12;4,59
2022-06-13;5,9
2022-06-14;6,3
2022-06-15;5,8
2022-06-16;5
2022-06-17;5,2
2022-06-18;4
2022-06-19;3,6
2022-06-20;5
2022-06-21;5
2022-06-22;5,2
2022-06-23;4,4
2022-06-24;5,9
2022-06-25;5,4
2022-06-26;4,8
2022-06-27;5,8
2022-06-28;3,5
2022-06-29;4,09
2022-06-30;6,3
2022-07-01;6,2
2022-07-02;5,7
2022-07-03;3,1
2022-07-04;5,5
2022-07-05;5,7
2022-07-06;5
2022-07-07;6,2
2022-07-08;3,9
2022-07-09;5,9
2022-07-10;5,3
2022-07-11;5,7
2022-07-12;4,5
2022-07-13;4,7
2022-07-14;3,9
2022-07-15;6,2
2022-07-16;5,6
2022-07-17;5,7
2022-07-18;4,4
2022-07-19;4,5
2022-07-20;4,59
2022-07-21;3,4
2022-07-22;6
2022-07-23;5,9
2022-07-24;6
2022-07-25;4,09
2022-07-26;3,9
2022-07-27;5,5
2022-07-28;4,5
2022-07-29;6
2022-07-30;4,2
2022-07-31;6,3
2022-08-01;4,7
2022-08-02;5,4
2022-08-03;6,2
2022-08-04;5,09
2022-08-05;0,4
2022-08-06;0
2022-08-07;0
2022-08-08;6,1
2022-08-09;2,6
2022-08-10;6,2
2022-08-11;6,4
2022-08-12;6,2
2022-08-13;6,5
2022-08-14;0
2022-08-15;6,2
2022-08-16;5,9
2022-08-17;6,3
2022-08-18;6,2
2022-08-19;6,5
2022-08-20;0,2
2022-08-21;5,09
2022-08-22;3,8
2022-08-23;5,9
2022-08-24;5,7
2022-08-25;4
2022-08-26;6,1
2022-08-27;6,3
2022-08-28;6,3
2022-08-29;6,3
2022-08-30;6,5
2022-08-31;6,3
2022-09-01;6,5
2022-09-02;6,4
2022-09-03;6,6
2022-09-04;6,2
2022-09-05;6,6
2022-09-06;6,4
2022-09-07;5,8
2022-09-08;6,2
2022-09-09;6,6
2022-09-10;6,5
2022-09-11;6,3
2022-09-12;6,5
2022-09-13;6,6
2022-09-14;6,6
2022-09-15;6,7
2022-09-16;6,6
2022-09-17;6,4
2022-09-18;6,4
2022-09-19;6,5
2022-09-20;6,4
2022-09-21;6,6
2022-09-22;6,7
2022-09-23;6,7
2022-09-24;6,6
2022-09-25;2,5
2022-09-26;6,5
2022-09-27;6,5
2022-09-28;6,5
2022-09-29;1,8
2022-09-30;0
2022-10-01;0
2022-10-02;0
2022-10-03;0,3
2022-10-04;6,5
2022-10-05;6,6
2022-10-06;6,4
2022-10-07;6,5
2022-10-08;6,2
2022-10-09;6
2022-10-10;5,5
2022-10-11;6,7
2022-10-12;0,1
2022-10-13;5,6
2022-10-14;6,3
2022-10-15;1,4
2022-10-16;5,8
2022-10-17;6,6
2022-10-18;6,8
2022-10-19;6,6
2022-10-20;6,9
2022-10-21;6,9
2022-10-22;6,3
2022-10-23;6,8
2022-10-24;6,9
2022-10-25;6,8
2022-10-26;6,7
2022-10-27;5,09
2022-10-28;6,6
2022-10-29;7,1
2022-10-30;5,5
2022-10-31;6
2022-11-01;6,9
2022-11-02;7,3
2022-11-03;5,6
2022-11-04;4,7
2022-11-05;3,2
2022-11-06;7,7
2022-11-07;2,7
2022-11-08;4,7
2022-11-09;6,7
2022-11-10;7,2
2022-11-11;7,2
2022-11-12;7,3
2022-11-13;5,3
2022-11-14;7,2
2022-11-15;7,1
2022-11-16;7,1
2022-11-17;7,1
2022-11-18;6,4
2022-11-19;6,5
2022-11-20;7,5
2022-11-21;7,3
2022-11-22;7
2022-11-23;6,4
2022-11-24;5,9
2022-11-25;7,4
2022-11-26;5,2
2022-11-27;7,4
2022-11-28;6,4
2022-11-29;4
2022-11-30;7
2022-12-01;7,2
2022-12-02;2,4
2022-12-03;4,8
2022-12-04;6,5
2022-12-05;2,29
2022-12-06;4,3
2022-12-07;7
2022-12-08;5
2022-12-09;7,6
2022-12-10;5,7
2022-12-11;6,4
2022-12-12;7,4
2022-12-13;7,6
2022-12-14;7,5
2022-12-15;7,6
2022-12-16;7,5
2022-12-17;5,2
2022-12-18;5
2022-12-19;6,3
2022-12-20;6,8
2022-12-21;7
2022-12-22;3
2022-12-23;2,8
2022-12-24;6,8
2022-12-25;6
2022-12-26;5,4
2022-12-27;4,3
2022-12-28;2,1
2022-12-29;6
2022-12-30;6,8
2022-12-31;7,3
2023-01-01;0,9
2023-01-02;5,4
2023-01-03;4,2
2023-01-04;5,2
2023-01-05;7
2023-01-06;7,4
2023-01-07;7,2
2023-01-08;5,3
2023-01-09;7,5
2023-01-10;4,9
2023-01-11;5
2023-01-12;6
2023-01-13;4,4
2023-01-14;3,8
2023-01-15;0,09
2023-01-16;6,5
2023-01-17;6,5
2023-01-18;2,8
2023-01-19;5,8
2023-01-20;5,5
2023-01-21;1,9
2023-01-22;4,4
2023-01-23;3,1
2023-01-24;2,29
2023-01-25;4,4
2023-01-26;5,6
2023-01-27;4,3
2023-01-28;5,4
2023-01-29;6,1
2023-01-30;2,9
2023-01-31;5,7
